,mtt,mu_pt,mu_abseta,pileup,weight,nevents,N_gen,gw_pos,gw_neg
179,2018.9530339263092,479.07086,0.067337036,24.0,1.0,527218.0,527218.0,527218.0,0.0
180,1525.632148494177,103.9739,0.24240112,25.0,1.0,527218.0,527218.0,527218.0,0.0
181,1658.01985196138,103.9739,0.24240112,25.0,1.0,527218.0,527218.0,527218.0,0.0
182,1625.477544737342,172.8174,0.35064697,22.0,1.0,527218.0,527218.0,527218.0,0.0
183,1887.381354267938,172.8174,0.35064697,22.0,1.0,527218.0,527218.0,527218.0,0.0
184,1306.7735422105457,172.8174,0.35064697,22.0,1.0,527218.0,527218.0,527218.0,0.0
185,1692.5623043465237,150.93813,0.62316895,22.0,1.0,527218.0,527218.0,527218.0,0.0
186,1686.5336145958745,150.93813,0.62316895,22.0,1.0,527218.0,527218.0,527218.0,0.0
187,2007.9962889999852,63.213387,0.59350586,17.0,1.0,527218.0,527218.0,527218.0,0.0
188,1921.6894199505743,294.07422,0.7373047,24.0,1.0,527218.0,527218.0,527218.0,0.0
189,1969.8874394088264,147.55392,0.035820007,20.0,1.0,527218.0,527218.0,527218.0,0.0
190,1758.9801317435797,147.55392,0.035820007,20.0,1.0,527218.0,527218.0,527218.0,0.0
191,1701.721889140842,110.9899,1.7021484,17.0,1.0,527218.0,527218.0,527218.0,0.0
192,1789.4841514417285,110.9899,1.7021484,17.0,1.0,527218.0,527218.0,527218.0,0.0
193,1318.973772125439,110.9899,1.7021484,17.0,1.0,527218.0,527218.0,527218.0,0.0
194,2348.036595730569,98.782875,0.15304565,16.0,1.0,527218.0,527218.0,527218.0,0.0
195,2409.1753188049797,296.39444,0.41326904,26.0,1.0,527218.0,527218.0,527218.0,0.0
196,2363.5163262462224,296.39444,0.41326904,26.0,1.0,527218.0,527218.0,527218.0,0.0
197,2078.224795134872,225.05885,0.5234375,27.0,1.0,527218.0,527218.0,527218.0,0.0
198,1308.0260986208827,225.05885,0.5234375,27.0,1.0,527218.0,527218.0,527218.0,0.0
199,1813.0920912216711,361.2579,0.24945068,20.0,1.0,527218.0,527218.0,527218.0,0.0
200,1769.9061696559263,361.2579,0.24945068,20.0,1.0,527218.0,527218.0,527218.0,0.0
201,1398.1350923591156,144.71951,0.24212646,21.0,1.0,527218.0,527218.0,527218.0,0.0
202,2195.073611859524,144.71951,0.24212646,21.0,1.0,527218.0,527218.0,527218.0,0.0
203,1949.969058977395,213.48062,0.6912842,27.0,1.0,527218.0,527218.0,527218.0,0.0
204,2033.9292627892648,111.30316,0.2175293,18.0,1.0,527218.0,527218.0,527218.0,0.0
205,1605.3520812060992,111.30316,0.2175293,18.0,1.0,527218.0,527218.0,527218.0,0.0
206,1553.4848889590194,111.30316,0.2175293,18.0,1.0,527218.0,527218.0,527218.0,0.0
207,1689.2206201900815,265.8204,2.1166992,15.0,1.0,527218.0,527218.0,527218.0,0.0
208,1753.1421091649454,265.8204,2.1166992,15.0,1.0,527218.0,527218.0,527218.0,0.0
209,1538.7359108903934,266.719,0.38513184,17.0,1.0,527218.0,527218.0,527218.0,0.0
210,1309.2977753374869,266.719,0.38513184,17.0,1.0,527218.0,527218.0,527218.0,0.0
211,1503.8394266833002,102.0042,0.7788086,16.0,1.0,527218.0,527218.0,527218.0,0.0
212,1863.215427634412,102.0042,0.7788086,16.0,1.0,527218.0,527218.0,527218.0,0.0
213,1891.275087901745,203.99307,0.20144653,18.0,1.0,527218.0,527218.0,527218.0,0.0
214,1435.4827578985053,203.99307,0.20144653,18.0,1.0,527218.0,527218.0,527218.0,0.0
215,515.8123410562802,179.7054,0.763916,22.0,1.0,527218.0,527218.0,527218.0,0.0
216,1074.450414077984,179.7054,0.763916,22.0,1.0,527218.0,527218.0,527218.0,0.0
217,993.3652802051016,175.38052,0.37908936,22.0,1.0,527218.0,527218.0,527218.0,0.0
218,1063.5578958078595,175.38052,0.37908936,22.0,1.0,527218.0,527218.0,527218.0,0.0
219,1951.998813362664,253.35545,0.19873047,17.0,1.0,527218.0,527218.0,527218.0,0.0
220,1947.2487858878724,253.35545,0.19873047,17.0,1.0,527218.0,527218.0,527218.0,0.0
221,2000.7597503736224,110.2471,0.3829956,28.0,1.0,527218.0,527218.0,527218.0,0.0
222,1281.4810412283953,110.2471,0.3829956,28.0,1.0,527218.0,527218.0,527218.0,0.0
223,1634.1988112317538,242.71803,0.09768677,16.0,1.0,527218.0,527218.0,527218.0,0.0
224,2005.3614103596497,70.005066,0.5670166,20.0,1.0,527218.0,527218.0,527218.0,0.0
225,1480.2524823488027,66.853004,0.16574097,17.0,1.0,527218.0,527218.0,527218.0,0.0
226,1229.1743653311444,66.853004,0.16574097,17.0,1.0,527218.0,527218.0,527218.0,0.0
227,854.2366048947973,66.853004,0.16574097,17.0,1.0,527218.0,527218.0,527218.0,0.0
228,2362.582544833725,267.94107,0.81811523,24.0,1.0,527218.0,527218.0,527218.0,0.0
229,2564.29124681766,483.18817,0.69018555,22.0,1.0,527218.0,527218.0,527218.0,0.0
230,2468.823435395855,483.18817,0.69018555,22.0,1.0,527218.0,527218.0,527218.0,0.0
231,2459.4325470333265,367.50262,0.9703369,26.0,1.0,527218.0,527218.0,527218.0,0.0
232,2729.6028012971665,270.674,0.15719604,14.0,1.0,527218.0,527218.0,527218.0,0.0
233,1975.970032130356,270.674,0.15719604,14.0,1.0,527218.0,527218.0,527218.0,0.0
234,2043.83439106984,316.62146,0.22525024,24.0,1.0,527218.0,527218.0,527218.0,0.0
235,2773.5018285707683,233.3539,0.11088562,17.0,1.0,527218.0,527218.0,527218.0,0.0
236,1416.483024771111,106.34365,1.0039062,18.0,1.0,527218.0,527218.0,527218.0,0.0
237,1430.9547610037357,106.34365,1.0039062,18.0,1.0,527218.0,527218.0,527218.0,0.0
238,1309.4336677737876,106.34365,1.0039062,18.0,1.0,527218.0,527218.0,527218.0,0.0
239,1093.4983986042246,148.08347,0.13586426,18.0,1.0,527218.0,527218.0,527218.0,0.0
240,1423.8554543333548,148.08347,0.13586426,18.0,1.0,527218.0,527218.0,527218.0,0.0
241,1889.3668342154224,214.1708,0.9193115,18.0,1.0,527218.0,527218.0,527218.0,0.0
242,1489.4149876795443,214.1708,0.9193115,18.0,1.0,527218.0,527218.0,527218.0,0.0
243,653.3502642095164,61.012184,0.42193604,30.0,1.0,527218.0,527218.0,527218.0,0.0
244,532.0207605938333,61.012184,0.42193604,30.0,1.0,527218.0,527218.0,527218.0,0.0
245,2224.404939035848,192.25995,0.7312012,22.0,1.0,527218.0,527218.0,527218.0,0.0
246,1605.114125247955,192.25995,0.7312012,22.0,1.0,527218.0,527218.0,527218.0,0.0
247,2119.617671940668,149.22296,0.14694214,24.0,1.0,527218.0,527218.0,527218.0,0.0
248,2036.879255460764,149.22296,0.14694214,24.0,1.0,527218.0,527218.0,527218.0,0.0
249,1761.6872840780302,117.94773,2.025879,16.0,1.0,527218.0,527218.0,527218.0,0.0
250,2662.274867212954,127.46667,0.06925964,24.0,1.0,527218.0,527218.0,527218.0,0.0
251,2013.670964177147,127.46667,0.06925964,24.0,1.0,527218.0,527218.0,527218.0,0.0
252,1826.9653099215084,63.33296,0.09378052,21.0,1.0,527218.0,527218.0,527218.0,0.0
253,1168.5042075079314,63.33296,0.09378052,21.0,1.0,527218.0,527218.0,527218.0,0.0
254,2312.314133275376,90.31702,0.7628174,21.0,1.0,527218.0,527218.0,527218.0,0.0
255,1826.1857572389108,90.31702,0.7628174,21.0,1.0,527218.0,527218.0,527218.0,0.0
256,1875.1234930435749,159.85931,1.171875,13.0,1.0,527218.0,527218.0,527218.0,0.0
257,1383.3364325962325,159.85931,1.171875,13.0,1.0,527218.0,527218.0,527218.0,0.0
258,2219.587414584607,65.08523,0.59558105,30.0,1.0,527218.0,527218.0,527218.0,0.0
259,2375.220158084217,94.97137,0.06745911,14.0,1.0,527218.0,527218.0,527218.0,0.0
260,1204.020561532739,91.232864,0.23913574,22.0,1.0,527218.0,527218.0,527218.0,0.0
261,2393.8405542434966,490.89267,1.059082,26.0,1.0,527218.0,527218.0,527218.0,0.0
262,2306.7815689658364,92.11615,0.9683838,10.0,1.0,527218.0,527218.0,527218.0,0.0
263,2092.998647099585,92.11615,0.9683838,10.0,1.0,527218.0,527218.0,527218.0,0.0
264,2356.6448975357152,126.77371,0.7578125,16.0,1.0,527218.0,527218.0,527218.0,0.0
265,1277.6605331771343,126.77371,0.7578125,16.0,1.0,527218.0,527218.0,527218.0,0.0
266,2516.1799855464005,371.4167,0.85839844,19.0,1.0,527218.0,527218.0,527218.0,0.0
267,1535.046170095007,62.91726,0.5209961,25.0,1.0,527218.0,527218.0,527218.0,0.0
268,1537.3832719567995,62.91726,0.5209961,25.0,1.0,527218.0,527218.0,527218.0,0.0
269,1378.1329073237991,62.91726,0.5209961,25.0,1.0,527218.0,527218.0,527218.0,0.0
270,1410.0367601560868,69.93703,1.5151367,21.0,1.0,527218.0,527218.0,527218.0,0.0
271,934.1270544439566,69.93703,1.5151367,21.0,1.0,527218.0,527218.0,527218.0,0.0
272,1794.3346229755778,140.88701,1.9057617,31.0,1.0,527218.0,527218.0,527218.0,0.0
273,1310.0313234236878,140.88701,1.9057617,31.0,1.0,527218.0,527218.0,527218.0,0.0
274,1718.6858815852297,151.08357,0.63305664,23.0,1.0,527218.0,527218.0,527218.0,0.0
275,2076.5536633967727,144.60992,0.034812927,29.0,1.0,527218.0,527218.0,527218.0,0.0
276,1863.847661225284,144.60992,0.034812927,29.0,1.0,527218.0,527218.0,527218.0,0.0
277,1967.3687018285275,117.76766,0.90112305,14.0,1.0,527218.0,527218.0,527218.0,0.0
278,1404.7726559027385,117.76766,0.90112305,14.0,1.0,527218.0,527218.0,527218.0,0.0
279,340.93863824143693,344.29022,0.085510254,15.0,1.0,527218.0,527218.0,527218.0,0.0
280,416.177876504942,344.29022,0.085510254,15.0,1.0,527218.0,527218.0,527218.0,0.0
281,1867.9971548251413,87.73613,0.5727539,13.0,1.0,527218.0,527218.0,527218.0,0.0
282,1928.7053762309693,87.73613,0.5727539,13.0,1.0,527218.0,527218.0,527218.0,0.0
283,747.3293955314568,123.29532,1.3981934,17.0,1.0,527218.0,527218.0,527218.0,0.0
284,973.6427093361602,258.1038,1.3520508,19.0,1.0,527218.0,527218.0,527218.0,0.0
285,1874.077051055056,486.08575,0.66345215,11.0,1.0,527218.0,527218.0,527218.0,0.0
